order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ01911,2018-07-30,14:55:46,Lunch,TP,"[('Steak', 9), ('Salad', 5), ('Burger', 7), ('Chicken', 5)]",868.0,-37.802619,145.0018079,0,10.81,14.8975065
ORDZ10586,2018-08-15,15:26:11,Lunch,NS,"[('Salad', 5), ('Burger', 6), ('Chicken', 2), ('Fries', 8)]",432.0,-37.80828,144.9768389,0,7.397,12.593458
ORDA03111,2018-12-29,20:00:00,Dinner,BK,"[('Pasta', 4), ('Salmon', 9), ('Shrimp', 6), ('Fish&Chips', 4)]",943.0,-37.7968922,145.0095675,0,5.425,14.7626412
ORDZ08019,2018-02-20,09:31:16,Lunch,NS,"[('Cereal', 4), ('Eggs', 1), ('Coffee', 10), ('Pancake', 9)]",399.25,-37.802431,144.9544456,0,7.793,13.2793291
ORDC00302,2018-26-11,18:49:00,Dinner,NS,"[('Pasta', 10), ('Shrimp', 10), ('Salmon', 7), ('Fish&Chips', 10)]",1452.0,-37.8008256,145.0046635,0,9.38,15.1510997
ORDI00851,2018-12-09,19:19:26,Dinner,NS,"[('Shrimp', 5), ('Salmon', 10), ('Fish&Chips', 3), ('Pasta', 10)]",1060.0,-37.8212245,144.9475376,0,9.838,17.2592138
ORDA04345,2018-12-27,20:00:00,Dinner,BK,"[('Shrimp', 6), ('Pasta', 9), ('Fish&Chips', 9), ('Salmon', 5)]",1091.5,-37.8117353,144.9564384,0,8.081,15.3588077
ORDI04898,2018-11-19,18:38:52,Dinner,bk,"[('Fish&Chips', 7), ('Salmon', 1)]",286.0,-37.8191543,144.9505999,0,9.632,15.5705472
ORDY06178,2018-10-29,17:58:18,Dinner,TP,"[('Shrimp', 6), ('Salmon', 7), ('Fish&Chips', 1)]",646.0,-37.8262599,144.9288674,0,10.79,14.6387457
ORDY01061,2018-10-30,17:58:18,Dinner,ns,"[('Fish&Chips', 1), ('Salmon', 2), ('Shrimp', 2), ('Pasta', 10)]",500.0,-37.8016529,144.957383,0,9.527,13.2319279
ORDC03224,2018-06-08,13:14:21,Lunch,NS,"[('Salad', 4), ('Fries', 10), ('Steak', 5), ('Burger', 1), ('Chicken', 8)]",700.8,-37.8048778,144.9515427,0,8.24,14.1526443
ORDY07338,2018-11-18,18:38:52,Dinner,TP,"[('Fish&Chips', 1), ('Salmon', 9)]",404.0,-37.8194251,145.0082549,0,11.326,16.6353112
ORDX05721,2018-06-17,13:24:30,Lunch,BK,"[('Chicken', 2), ('Salad', 4), ('Burger', 3)]",225.8,-37.8008794,144.9650005,0,7.857,16.3012169
ORDB00675,09-06-2018,13:14:21,Lunch,TP,"[('Fries', 8), ('Salad', 3), ('Steak', 7), ('Chicken', 5), ('Burger', 5)]",777.6,-37.8200867,144.9584,0,7.864,12.7340055
ORDI09580,2018-07-05,14:05:04,Lunch,NS,"[('Fries', 5), ('Chicken', 5), ('Steak', 7)]",535.0,-37.8096131,144.9675642,0,7.219,12.9767902
ORDA02303,2018-03-01,09:51:32,Breakfast,BK,"[('Cereal', 5), ('Eggs', 3)]",171.0,-37.7983344,144.9784699,0,7.134,11.7210591
ORDJ05608,2018-11-29,18:59:09,Dinner,TP,"[('Salmon', 1), ('Fish&Chips', 4), ('Shrimp', 10), ('Pasta', 7)]",913.5,-37.8251276,144.924378,0,11.067,15.0270513
ORDY04619,2018-12-22,19:49:51,Dinner,TP,"[('Shrimp', 4), ('Pasta', 3), ('Fish&Chips', 5)]",473.5,-37.805768,144.966843,1,9.38,15.045268
ORDX03251,2018-07-08,14:15:12,Lunch,BK,"[('Fries', 2), ('Pancake', 7), ('Chicken', 4)]",369.0,-37.8198164,144.9612635,0,8.058,16.4784587
ORDI08645,2018-03-11,10:11:49,Breakfast,NS,"[('Pancake', 1), ('Coffee', 1)]",519.0,-37.8065824,144.9629048,0,7.328,14.49162
ORDB10212,2018-06-07,13:14:21,Lunch,TP,"[('Burger', 10), ('Salad', 8), ('Steak', 7), ('Fries', 1), ('Chicken', 9)]",396.5,-37.8036788,144.9489918,0,9.916,13.0509571
ORDI05640,2018-03-26,10:42:15,Breakfast,NS,"[('Cereal', 2), ('Eggs', 5)]",152.0,-37.8113936,144.9830234,1,8.157,13.7303185
ORDJ08261,2018-10-05,17:07:36,Dinner,TP,"[('Shrimp', 9), ('Fish&Chips', 3), ('Pancake', 10)]",866.0,-37.8081671,144.9558662,0,9.087,13.2453178
ORDJ02109,2018-07-15,14:25:21,Lunch,tp,"[('Steak', 2), ('Salad', 7), ('Fries', 8), ('Burger', 7), ('Chicken', 8)]",779.4,-37.8186623,144.9928325,0,10.017,14.7113257
ORDJ08698,2018-11-12,18:28:43,Dinner,bk,"[('Pasta', 7), ('Shrimp', 5), ('Salmon', 8)]",790.5,-37.8049738,144.9793394,0,10.481,14.1788459
ORDC05472,2018-06-16,13:24:30,Lunch,NS,"[('Steak', 6), ('Salad', 7), ('Chicken', 10), ('Burger', 2)]",772.4,37.8186852,144.9535365,0,9.197,16.6781618
ORDY05951,2018-04-13,11:22:49,Breakfast,TP,"[('Coffee', 10), ('Pancake', 8)]",560.5,-37.8135393,144.9616656,0,8.23,10.9149361
