order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ05638,2018-09-16,16:37:10,Dinner,TP,"[('Pasta', 3), ('Fish&Chips', 3), ('Salmon', 7)]",474.5,-37.8140799,144.9737248,0,8.55,14.4632068
ORDX05263,2018-09-27,16:57:27,Dinner,BK,"[('Shrimp', 1), ('Salmon', 3), ('Pasta', 8)]",397.0,-37.8030068,145.0170153,0,5.888,12.74318
ORDI00047,2018-02-05,09:10:59,Breakfast,NS,"[('Cereal', 8), ('Pancake', 8), ('Coffee', 6)]",407.0,-37.8245484,144.9885013,0,9.629,14.386882
ORDJ02135,2018-02-14,09:21:07,Breakfast,,"[('Cereal', 9), ('Pancake', 8)]",383.0,-37.8252459,144.9806127,0,,11.1666748
ORDC03650,2018-11-16,18:28:43,Dinner,NS,"[('Pasta', 4), ('Fish&Chips', 5)]",285.0,-37.814892,145.0076791,0,10.53,16.6086292
ORDI03344,2018-03-07,10:01:41,Breakfast,NS,"[('Eggs', 5), ('Pancake', 6), ('Coffee', 10), ('Cereal', 6)]",456.5,-37.821765,144.9522671,0,9.623,14.0961948
ORDA09208,2018-09-09,16:16:54,Dinner,BK,"[('Shrimp', 7), ('Pasta', 5), ('Fish&Chips', 8), ('Salmon', 6)]",1041.5,-37.8093903,144.9892,0,5.101,14.2651625
ORDI05531,2018-12-16,19:29:34,Dinner,NS,"[('Shrimp', 6), ('Pasta', 4), ('Salmon', 1)]",475.0,-37.8134837,144.9656425,0,7.841,15.2940372
ORDI00839,2018-11-28,18:59:09,Dinner,NS,"[('Fish&Chips', 5), ('Pasta', 8)]",395.0,-37.8204674,144.9663312,0,8.869,
ORDZ10317,2018-04-12,11:12:40,Breakfast,NS,"[('Cereal', 1), ('Pancake', 10)]",263.5,-37.8140301,144.9626401,0,8.081,13.1061761
ORDJ02194,2018-08-31,15:56:37,Lunch,TP,"[('Steak', 5), ('Burger', 3)]",318.0,-37.8058243,144.9582752,0,9.102,12.4843996
ORDC08946,2018-12-17,19:39:43,Dinner,NS,"[('Shrimp', 7), ('Fish&Chips', 4)]",518.0,-37.807676,144.9552709,0,8.193,
ORDX10100,2018-02-18,09:31:16,Breakfast,BK,"[('Pancake', 6), ('Eggs', 9), ('Cereal', 3)]",406.5,-37.818545,144.9960999,0,5.171,12.8365247
ORDB02770,2018-01-10,08:10:08,Breakfast,TP,"[('Coffee', 2), ('Eggs', 5), ('Cereal', 10), ('Pancake', 2)]",383.5,-37.8067847,144.9570032,1,9.279,5.9728197
ORDI07288,2018-01-22,08:40:33,Breakfast,,"[('Pancake', 9), ('Coffee', 7)]",270.75,-37.8008042,144.9748265,0,,11.7816383
ORDX09764,2018-07-08,14:15:12,Lunch,BK,"[('Chicken', 2), ('Burger', 5), ('Fries', 4)]",267.0,-37.8091315,144.9320819,0,10.45,18.8179955
ORDY10333,2018-06-18,13:34:38,Lunch,TP,"[('Salad', 5), ('Chicken', 5), ('Steak', 3), ('Burger', 6)]",567.0,-37.8184825,144.9747793,0,8.287,11.5093609
ORDK04106,2018-08-27,15:46:28,Lunch,,"[('Chicken', 4), ('Steak', 8)]",488.0,-37.8209872,144.9558871,0,,14.5149453
ORDY02810,2018-12-06,19:09:17,Dinner,,"[('Pasta', 1), ('Shrimp', 4)]",243.5,-37.8134016,145.0152525,0,,16.6847985
ORDY01542,2018-01-27,08:50:42,Breakfast,TP,"[('Coffee', 9), ('Eggs', 5), ('Cereal', 2)]",219.5,-37.799333,144.963155,0,9.877,14.0642567
ORDI00284,2018-06-08,13:14:21,Lunch,NS,"[('Fries', 10), ('Salad', 2)]",154.4,-37.8035393,144.9659768,0,6.779,12.4630279
ORDC05634,2018-06-30,13:54:55,Lunch,NS,"[('Steak', 7), ('Chicken', 2), ('Salad', 3)]",430.6,-37.8148524,144.9502533,0,10.194,17.5488502
ORDJ05669,2018-10-08,17:17:44,Dinner,TP,"[('Salmon', 6), ('Pasta', 6), ('Shrimp', 5)]",681.0,-37.8156592,144.9581359,0,8.186,
ORDJ00820,2018-01-27,08:50:42,Breakfast,TP,"[('Cereal', 6), ('Coffee', 9), ('Eggs', 4), ('Pancake', 2)]",330.0,-37.8094655,144.9638416,0,8.669,12.9761538
ORDJ05288,2018-04-28,11:53:14,Breakfast,TP,"[('Cereal', 7), ('Eggs', 9), ('Coffee', 2), ('Pancake', 3)]",432.75,-37.8156905,144.9846381,0,9.429,
ORDB08477,2018-07-11,14:15:12,Lunch,,"[('Burger', 3), ('Steak', 3), ('Chicken', 7), ('Salad', 1), ('Fries', 8)]",565.2,-37.8282286,144.9858088,0,,12.369198
ORDJ02612,2018-09-27,16:57:27,Dinner,,"[('Shrimp', 5), ('Salmon', 5), ('Fish&Chips', 9), ('Pasta', 10)]",1065.0,-37.7997903,144.965651,0,,13.934381
ORDX10005,2018-11-04,18:08:27,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 1)]",62.5,-37.8189068,144.9521333,0,8.924,18.0598155
ORDK06899,2018-02-19,09:31:16,Breakfast,BK,"[('Coffee', 5), ('Pancake', 10), ('Cereal', 7), ('Eggs', 9)]",625.0,-37.8060592,144.9460326,0,9.024,13.824493
ORDC02430,2018-05-26,12:43:56,Lunch,NS,"[('Salad', 2), ('Chicken', 10), ('Steak', 8), ('Burger', 9)]",993.4,-37.8093789,144.9345269,0,9.978,17.374133
ORDK03956,2018-02-15,09:21:07,Breakfast,BK,"[('Cereal', 9), ('Eggs', 5)]",299.0,-37.8109101,145.0041604,0,3.765,8.8476379
ORDA10540,2018-07-27,14:45:38,Lunch,,"[('Fries', 1), ('Steak', 9), ('Salad', 5), ('Chicken', 9), ('Burger', 2)]",853.0,-37.8110617,144.9888658,0,5.228,11.5038028
ORDZ09155,2018-03-26,10:42:15,Breakfast,,"[('Cereal', 10), ('Eggs', 8)]",386.0,-37.8055337,144.9736039,0,6.822,11.8383122
ORDZ07624,2018-02-10,09:10:59,Breakfast,,"[('Cereal', 9), ('Coffee', 10), ('Eggs', 5)]",374.0,-37.804957,144.9713032,0,6.959,13.6282755
ORDX07605,2018-07-13,14:25:21,Lunch,BK,"[('Steak', 9), ('Fries', 2), ('Burger', 2), ('Salad', 9), ('Chicken', 3)]",741.8,-37.7994265,144.9771971,0,7.096,13.0910376
ORDX07907,2018-07-01,13:54:55,Lunch,BK,"[('Fries', 4), ('Chicken', 1)]",80.0,-37.8184595,144.9677262,0,7.554,15.4551705
ORDX10017,2018-10-15,17:27:53,Dinner,,"[('Pasta', 5), ('Shrimp', 4), ('Salmon', 9), ('Fish&Chips', 2)]",792.5,-37.8094696,144.9755764,0,,13.4737758
ORDJ03920,2018-02-06,09:10:59,Breakfast,TP,"[('Eggs', 8), ('Coffee', 10), ('Cereal', 7), ('Pancake', 7)]",567.75,-37.8247196,144.9884504,0,9.198,11.503158
ORDI00721,2018-09-03,16:06:45,Dinner,,"[('Pasta', 2), ('Salmon', 7)]",342.0,-37.8144982,144.9355209,0,10.127,16.1818594
ORDA00201,2018-07-02,14:05:04,Lunch,BK,"[('Salad', 2), ('Burger', 4), ('Fries', 8)]",254.4,-37.805561,144.9559188,0,8.098,14.213893
